,rate
41798,3.5
6045,4.4
38810,2.8
12100,3.7
6711,4.0
31393,3.4
18516,4.6
14680,3.8
31984,4.7
40527,2.6
38244,3.9
38233,4.0
1996,3.0
27420,3.4
35185,3.9
2164,3.5
32485,3.9
13290,4.4
43431,4.2
14068,3.9
19833,4.1
10518,3.1
1004,3.6
22887,3.2
7892,4.1
35020,3.9
4105,4.1
8630,3.7
35402,4.3
14010,3.8
45528,2.9
45943,3.5
51670,3.8
42177,4.4
38599,4.1
2656,3.9
8228,3.7
48074,3.6
4558,4.2
45281,3.5
6152,4.1
23556,3.1
15422,3.2
22386,3.2
34845,4.1
36972,3.5
44077,3.9
43772,3.5
13482,3.8
15987,4.0
49763,4.0
4671,3.5
18408,3.5
935,3.9
43419,3.7
18324,3.7
48079,3.4
2517,4.2
20036,3.6
46340,3.2
18318,3.8
34692,4.5
12891,3.3
20054,3.8
30033,3.4
19701,3.1
36658,2.9
49216,4.3
25825,3.1
2917,3.6
32412,3.8
29952,4.2
32850,3.5
11816,4.0
47391,3.6
7134,3.0
15213,3.5
14854,4.2
46533,3.5
38954,3.8
13828,2.9
41844,3.5
48601,3.8
36192,4.0
5455,3.2
20143,3.4
48932,3.6
35366,3.4
21565,3.4
49172,3.1
26704,3.9
4576,4.0
7099,3.6
16411,3.9
23414,3.2
46097,4.0
40460,4.1
34655,3.8
16014,3.5
34057,4.0
15030,3.7
16972,4.2
38892,3.2
3520,4.0
19174,3.2
21531,3.6
4387,3.9
37462,3.7
15852,3.1
3750,4.4
18690,4.2
1710,4.0
38728,4.0
17173,3.9
48659,3.6
45124,3.5
40994,3.7
40138,3.8
32945,3.6
22293,3.7
14801,3.9
51474,3.0
15375,3.6
37681,4.1
30481,3.6
47265,4.4
3675,3.3
49301,3.6
26662,3.7
46781,3.3
7255,3.2
27557,3.7
29736,3.5
3311,4.1
23796,3.4
36463,3.8
5483,3.9
39596,3.7
46658,3.6
10988,4.2
34978,3.7
45530,3.6
48796,4.2
45870,4.2
7979,3.9
37234,3.3
11185,3.9
28544,3.8
47173,4.3
19999,4.1
32610,3.5
25679,3.8
50843,3.5
31886,3.5
28167,4.5
381,3.8
21088,4.1
14901,4.2
47687,3.6
39421,3.7
5823,3.9
30173,3.8
9927,3.8
19145,4.0
28374,3.4
7137,4.2
38966,3.9
12619,3.7
32692,3.6
4403,4.0
22005,4.0
41500,4.2
13712,3.7
20330,3.4
26622,4.5
30008,3.7
26707,4.1
5779,3.0
27366,3.6
17534,4.2
26962,3.1
49498,3.6
18540,3.5
9353,3.4
10965,3.6
27854,3.4
10063,3.6
34959,3.2
19283,3.8
8816,3.8
1448,3.5
37760,3.8
33360,3.3
8388,3.7
11045,3.7
47018,3.9
24913,3.5
39841,3.9
6233,3.7
45816,4.4
15195,3.5
16464,4.1
11643,3.8
20699,3.5
3005,4.2
18470,2.9
28194,4.2
17469,3.2
1203,3.9
21294,4.2
42526,4.2
2116,3.9
50646,3.6
33652,3.0
3459,4.1
24805,3.5
17798,3.9
39161,3.3
47405,4.0
24020,3.9
40553,3.2
47452,3.9
30202,4.2
34026,4.2
35139,4.2
29054,3.4
25674,4.4
27061,4.0
49309,3.2
37770,3.7
19147,4.1
41738,3.1
42678,3.7
30260,3.0
1260,3.0
28690,4.4
6984,3.8
37239,4.0
38170,4.3
43153,4.0
10810,3.3
35885,3.3
29524,3.7
24181,3.6
23612,3.5
34743,4.1
49795,3.3
15310,4.1
12996,3.2
40973,4.4
8741,3.8
20152,3.9
9749,3.7
38750,3.9
37324,3.7
17529,4.4
39231,3.7
727,3.3
40022,3.0
17546,4.0
51292,3.2
10592,3.6
41643,2.9
42845,3.8
13571,3.3
27680,3.3
39012,3.1
39153,4.2
41034,3.1
51197,3.8
43546,4.0
27228,3.7
13063,4.4
26102,3.8
23847,3.8
46380,4.1
15820,3.9
1500,3.3
29851,3.1
36423,4.2
16005,3.3
32337,4.0
31266,4.1
27419,3.5
38589,4.3
269,3.9
38994,3.3
32097,3.3
7210,3.5
11126,3.7
29278,4.4
20072,3.8
12188,3.4
48782,4.4
3972,4.1
8800,3.9
50078,4.5
43213,3.6
8412,4.1
66,3.6
29655,4.1
7232,3.4
35365,3.0
28171,4.2
3057,3.6
25392,2.9
6087,4.4
7038,3.5
6775,4.2
46829,3.3
43637,4.1
35357,3.9
27849,3.9
3847,4.2
908,4.1
32000,4.3
33922,4.5
17430,3.5
44467,3.9
6236,3.6
23639,3.3
23251,3.6
33956,4.0
18695,4.1
13379,3.2
23773,2.9
21305,4.3
10171,3.8
5893,3.5
9763,4.1
8088,3.4
50145,3.5
41603,3.8
31533,3.3
2229,3.4
30584,3.3
31281,4.1
36853,3.8
51089,4.1
29432,3.6
30179,3.7
32261,3.8
22495,4.3
44781,3.8
324,3.6
15459,3.9
29934,3.7
14779,4.3
44937,3.9
43158,3.7
23009,3.4
29730,4.2
41154,3.1
2930,2.8
38024,4.2
16694,3.3
30600,3.4
1995,3.5
19417,3.5
8773,4.1
14771,3.9
4033,3.2
49844,4.1
11916,3.5
7120,3.3
19306,4.0
37957,3.8
15464,3.5
6902,3.9
11933,4.1
36600,4.2
37767,3.7
28605,2.8
11915,4.2
1423,4.0
29291,4.0
28149,4.3
24733,3.8
12681,4.3
16036,3.9
13168,3.6
4816,4.3
47807,3.9
3421,3.3
288,3.3
47844,3.0
31247,4.4
17767,3.7
11723,4.1
23330,3.6
7545,3.7
25019,3.2
1030,3.2
2511,4.1
33813,4.1
45927,3.1
220,3.8
41555,4.5
5637,3.3
2211,4.0
12640,4.0
22760,2.8
45751,3.8
28607,3.7
9878,3.0
38085,3.4
31064,4.5
29141,3.6
13998,3.5
22312,3.7
3711,3.3
1159,3.9
47486,3.9
29284,3.7
41273,3.8
27510,3.7
21941,3.8
15339,3.8
17224,3.6
44852,3.2
3725,3.3
8480,3.7
49727,3.2
48775,4.4
29512,3.4
2328,3.7
35456,2.8
32385,4.3
39170,3.6
13453,4.0
9036,3.4
3416,3.5
41564,3.5
22438,3.1
12630,4.5
43923,4.2
49366,3.4
23022,2.9
26157,3.3
46068,4.3
51413,3.4
4259,3.7
33918,4.5
20585,3.6
9263,3.6
7216,3.2
41734,4.0
14824,4.4
27283,4.1
9682,3.0
32716,4.0
35660,3.8
43811,3.1
40755,3.7
8904,3.4
46965,4.2
32380,3.6
46885,3.5
30352,3.0
10908,3.9
20746,3.6
50416,3.4
49100,3.0
3993,3.5
26944,4.1
26312,3.8
31513,3.6
51688,4.0
28529,3.9
30356,3.5
32898,3.7
32583,3.7
30846,4.0
50159,3.8
37975,3.4
6634,4.2
26646,3.8
42656,3.2
6518,3.1
8571,4.4
36917,3.8
74,3.6
27864,3.5
27374,2.5
45405,3.8
8875,4.0
14205,3.0
1631,3.7
33382,3.8
38551,4.3
49922,2.8
17847,3.9
48929,4.0
29064,2.6
42368,4.3
16290,3.7
44741,3.2
31308,3.9
50582,3.7
50326,3.6
29705,4.5
12884,4.3
36295,3.3
21013,3.4
29363,4.1
49294,3.8
22592,2.8
34903,3.7
19601,3.7
45107,3.7
45434,3.5
774,3.8
23604,4.1
37705,3.0
344,3.0
26559,4.1
23149,4.3
37015,3.6
20854,3.3
33558,3.4
1867,3.2
10941,4.4
40796,3.5
11804,4.1
20846,2.9
13114,3.9
3020,3.8
35096,4.4
31977,2.9
35424,3.8
36866,3.8
31786,3.3
45368,4.3
41694,3.2
8844,4.2
39285,3.5
8381,3.8
18526,4.2
35345,3.7
8637,3.3
41039,3.8
47286,4.4
41838,3.2
48885,3.9
21319,4.0
28921,4.5
45297,2.7
8164,3.1
19842,4.0
1292,3.7
8621,3.5
39263,3.4
34456,3.7
31452,3.9
49724,3.5
1666,3.0
35320,3.4
22843,3.2
23989,3.6
9674,3.6
9367,4.2
27212,3.8
25753,3.4
45525,4.0
36702,4.1
46914,3.6
47489,3.6
12023,3.4
3154,3.0
47337,4.3
14449,3.1
7809,3.2
7395,3.5
45777,3.3
46968,4.0
34571,3.5
44813,3.9
51435,3.2
2564,4.3
5992,3.6
21359,3.9
11136,3.8
45566,4.1
21102,3.9
22303,3.4
21301,4.1
45004,3.9
5762,3.0
23707,3.6
8828,3.5
32751,4.1
41515,3.3
4472,4.4
3919,4.0
22286,3.3
35534,3.4
31522,2.7
40312,3.4
10840,3.7
12978,3.6
6224,3.7
23156,3.9
11508,4.3
5130,3.5
19619,3.3
51326,3.9
29349,4.1
36035,4.3
10403,4.3
10686,3.6
38813,3.6
32770,3.5
11854,4.1
41313,3.4
1273,4.0
35619,4.2
18237,3.5
27863,3.7
4482,3.9
21976,2.9
39515,3.7
29380,3.8
29288,4.0
19463,3.8
37653,3.9
32090,3.8
37213,3.5
19525,3.7
50866,4.0
13371,4.2
3732,3.4
9808,2.9
15985,3.0
2030,2.4
3553,3.7
25348,3.9
13257,4.0
47007,3.8
25942,3.9
48095,3.3
40108,4.0
50472,3.8
23337,3.9
9296,3.8
2556,3.8
9163,3.5
10709,3.5
6281,3.5
7557,3.3
37893,4.1
46121,4.0
9138,3.7
50147,4.3
43884,3.8
28675,4.2
16446,3.3
22088,3.7
35275,4.1
28451,4.1
33919,4.8
27122,3.9
41479,3.3
27395,3.6
34906,4.1
47785,3.9
46907,3.2
21792,3.7
11397,3.0
50957,4.0
14812,3.9
37722,3.9
11069,3.6
30689,3.6
15586,4.3
34135,3.6
15182,3.0
48909,3.8
21741,4.4
24126,3.9
17925,3.4
36846,3.9
28663,4.1
51694,4.1
21191,3.9
26295,3.8
18373,3.8
11997,3.8
22953,3.0
44796,3.1
45897,4.2
20366,2.6
24063,4.1
320,3.6
32681,3.8
39641,3.9
7398,4.2
10927,3.8
23153,4.2
25631,3.2
21599,3.2
50977,3.1
44032,3.8
37812,3.6
37909,3.7
17807,4.1
49399,3.4
9415,3.6
6420,3.5
19224,3.5
43575,3.7
49276,3.3
32273,3.8
33280,3.8
41390,3.2
38110,3.1
8497,4.0
20747,3.6
6963,4.4
35595,3.1
41854,2.9
34501,2.7
22783,3.4
47087,3.5
3527,3.7
1226,3.5
39426,3.7
14955,4.2
37093,2.6
6154,4.1
50604,3.4
34614,3.6
18930,3.2
28628,3.6
20495,4.1
50935,3.9
41559,3.8
34050,4.2
21916,3.1
34286,3.3
20908,3.8
17550,4.6
1510,4.1
30240,3.7
5500,3.1
37579,3.8
4276,3.5
16489,3.8
38627,4.5
36104,3.5
48355,3.9
17850,4.0
29575,4.4
1455,3.5
7475,3.6
44426,4.2
41462,3.8
43435,3.9
43393,4.1
19880,3.8
41742,3.6
21019,3.4
32892,3.8
20656,4.3
33822,3.7
26926,4.2
14673,3.8
21758,3.9
19309,4.1
28609,3.4
31433,3.2
602,3.6
31111,4.0
27763,4.0
49037,3.7
29413,3.5
22660,3.3
10858,3.5
27215,3.2
28604,3.4
9167,3.5
35200,3.6
32979,3.3
9731,3.7
32644,3.9
39583,3.8
24783,3.3
13427,3.4
8369,4.0
17874,3.1
33698,3.9
304,3.7
51062,4.5
50341,3.7
8782,3.9
10937,4.2
27658,4.3
19957,3.5
15501,3.4
31460,3.7
19177,3.4
39433,4.2
51532,3.4
30535,3.8
42561,4.1
25470,3.6
27478,3.9
14895,3.5
1102,3.6
45311,3.8
32920,3.1
46308,3.8
4113,3.8
4086,3.7
9426,3.2
24558,3.3
36927,4.2
40542,3.6
3905,3.7
36909,3.3
16557,3.4
4436,3.4
16244,4.3
33377,3.7
49218,4.0
9366,4.3
46558,3.8
4146,4.1
30180,4.1
17255,3.7
6350,4.0
18991,4.0
37210,3.8
47036,3.8
9994,4.0
34479,3.3
8819,4.0
39650,3.7
21838,3.9
48185,4.2
38726,3.9
44514,2.8
14070,3.7
17384,3.7
50503,3.5
44054,2.9
46396,3.6
3772,4.3
17829,4.1
50878,2.9
34561,3.6
24525,3.4
4950,4.4
29436,4.1
21138,3.2
41839,3.1
11376,3.3
50555,3.1
18189,3.1
18667,4.3
4859,3.2
41358,3.7
3762,4.8
7176,3.3
51376,4.2
11822,3.9
40515,4.0
47234,4.2
36564,3.6
39838,3.9
16704,3.3
12534,4.3
6685,4.3
20755,3.4
48115,4.2
12438,3.7
12049,3.0
32392,4.1
12908,3.9
33474,3.6
38790,4.0
39694,3.9
18544,3.4
42652,3.4
25863,3.3
36317,2.7
29196,3.6
5931,4.1
3960,4.0
3664,3.5
5105,3.7
162,3.6
49857,3.8
902,4.1
35799,3.8
19082,3.4
8642,4.1
26936,3.3
11613,4.4
51057,4.1
34526,3.8
29404,4.1
11186,3.3
45731,3.6
21911,4.0
12290,3.3
43898,4.4
25384,3.8
32267,3.7
6675,3.8
46167,3.7
23247,3.2
21343,4.1
8357,3.6
28893,3.3
27092,3.7
9198,4.0
39792,3.8
6832,3.5
16179,3.8
9778,3.6
3145,3.3
2799,2.8
51161,3.1
42647,2.9
1721,3.9
43276,4.3
3472,4.0
2147,2.9
40171,4.0
5847,4.3
14325,3.1
3855,3.8
26147,4.0
23214,3.7
41335,3.5
24420,3.5
16414,3.6
826,3.6
32495,4.3
32917,3.7
29879,4.1
46598,3.3
36539,3.4
2748,3.0
489,3.9
19297,3.8
34404,3.3
29516,4.1
47681,3.9
32936,3.9
28896,3.2
13478,3.2
2997,3.7
29049,3.7
19107,3.6
39326,4.4
10459,3.6
26332,3.8
29715,4.3
8779,3.3
45909,3.8
12157,4.0
25114,3.2
4726,3.6
1115,3.7
10942,4.1
23271,3.5
51291,3.3
3450,4.2
11573,4.1
26091,3.3
2790,4.5
50875,4.1
19296,4.1
43268,4.1
11391,3.2
25313,4.0
15888,4.0
37725,3.3
27013,4.2
50035,3.6
14082,3.9
5835,4.0
23889,3.6
13942,2.8
29483,3.9
3118,3.4
28991,3.9
9917,3.3
5190,4.2
13466,3.4
34819,4.2
49864,3.8
480,4.3
45858,3.8
19816,3.3
48252,4.3
49450,3.5
45606,3.5
9704,3.3
790,3.9
29884,4.1
23909,3.6
28788,3.5
3727,4.0
39318,3.6
16926,2.4
8338,4.4
21981,4.2
42416,3.4
19537,3.6
42846,3.4
5298,4.3
10408,3.7
42171,3.0
8434,3.7
48004,3.6
11022,4.3
5780,3.6
13384,3.7
20172,3.9
42375,3.9
4713,4.3
40246,2.7
47110,3.2
48090,3.2
15306,3.6
23451,3.5
42719,3.7
28680,3.7
27197,3.8
21447,4.2
3508,3.7
26109,4.2
18551,3.9
41642,3.9
397,4.1
26830,4.4
7098,3.3
48920,4.0
7156,3.7
12386,4.1
41832,3.5
26645,4.2
16914,2.8
9103,3.6
43187,4.5
41815,3.3
13733,3.9
9250,4.0
21153,3.8
31381,4.1
32925,3.6
33719,3.8
35167,4.4
17216,3.8
48963,4.2
37606,4.7
20945,3.8
18985,4.2
41671,3.6
12928,3.5
5855,4.0
29399,3.9
11340,3.1
22739,2.6
18948,3.7
48852,4.3
24015,3.2
24037,3.8
50126,3.5
16789,4.1
3746,3.9
2503,3.4
23468,3.7
20948,4.1
39180,4.1
30492,4.0
42381,4.9
6718,3.9
49393,3.2
10326,4.1
30482,3.7
18385,3.7
47986,4.5
29861,4.4
7162,4.0
2443,3.5
45327,3.5
19213,3.5
27373,2.3
36617,3.5
46578,3.3
4073,3.2
31383,3.5
51042,4.9
4813,4.7
5225,4.0
42214,3.8
36865,3.6
15908,3.9
35958,3.2
15610,4.1
19964,2.6
10301,4.2
7032,4.1
588,3.1
9858,3.4
35564,3.7
8546,3.6
25307,3.7
37467,3.6
45998,3.5
1806,3.0
21658,3.5
22822,3.2
17132,3.9
34303,3.1
14128,3.8
18755,4.0
37825,3.4
3887,3.8
45587,3.9
37297,3.9
23474,3.9
32016,3.9
15670,4.0
39459,4.2
49239,3.1
16888,3.7
46926,3.2
37136,3.8
38891,3.3
31410,3.8
43397,3.9
24981,3.3
31969,3.4
15913,3.9
39214,3.8
6010,3.5
24847,4.1
22048,3.6
49613,3.8
33781,3.6
49056,4.2
36421,4.3
51142,4.1
26106,3.7
46095,4.6
36736,4.4
19295,4.0
6676,3.6
33286,3.6
15271,3.8
46444,3.5
39010,3.2
5067,4.2
10235,3.6
33851,3.7
45167,4.1
47688,3.5
51192,3.6
38358,3.6
27089,3.9
8127,3.3
41958,3.7
26744,4.1
28175,4.1
17235,3.3
22499,4.1
18561,4.0
43450,3.8
35966,3.2
43155,4.1
34027,4.0
43004,3.0
15048,3.8
7065,3.9
3638,3.5
8916,3.4
39936,3.5
43665,3.1
37218,3.6
23837,4.1
12824,3.4
45599,4.0
42546,4.0
3009,4.1
41381,3.2
1457,3.7
6389,3.8
13504,4.0
49047,4.0
50225,3.2
33675,4.0
28337,3.9
678,3.6
40461,4.3
35324,3.8
40094,4.1
9039,3.5
19344,4.0
18718,4.0
40908,3.7
35806,3.8
39682,4.1
30039,3.9
2725,3.7
30106,3.7
36426,4.4
46506,3.3
33475,3.3
46201,3.4
4973,4.3
36625,3.6
25120,3.4
15796,4.3
39877,3.3
44068,4.0
44430,4.0
35500,3.5
45687,2.8
14988,3.5
28415,4.1
27193,4.3
32134,4.2
35354,3.6
21986,3.5
495,4.4
8225,2.7
37954,4.1
5889,4.2
22413,3.4
40747,2.9
49652,4.1
49549,3.8
4830,4.1
41539,4.3
27650,3.3
23042,3.2
32856,3.6
4774,3.3
12395,4.1
49873,4.0
1343,3.1
40673,3.1
19084,3.2
18380,3.7
1800,3.1
48848,4.0
29786,4.0
26716,3.9
7111,4.0
33697,4.0
11706,2.1
22328,4.1
19714,4.5
27194,4.4
1291,3.2
35203,4.0
36067,4.1
29605,3.3
7,4.6
23601,4.3
14289,3.5
19888,4.0
16315,3.7
8103,3.5
22542,3.8
20537,3.8
48603,3.7
48246,4.2
21167,3.6
44954,4.0
13152,2.9
5056,4.1
16564,3.5
1229,3.5
35286,3.5
40667,4.2
3062,3.8
39488,3.4
2055,3.6
4082,3.9
17238,3.6
36050,3.6
31158,3.5
35930,3.5
8865,3.3
38120,4.0
28162,4.3
7799,3.3
33992,4.4
14059,3.8
15089,3.8
5209,4.3
21563,3.6
10701,3.1
2974,3.2
19637,3.7
15498,3.1
23269,2.8
9409,4.0
19980,4.2
37732,3.7
7389,3.8
34129,3.8
11654,3.6
11700,4.1
23863,4.1
2624,4.0
13042,3.2
40535,4.6
41604,3.7
6137,4.2
6987,3.7
2749,3.0
13822,3.1
1390,3.7
44471,3.6
49715,3.1
19565,4.0
41550,4.2
13564,3.7
49010,4.1
43309,4.2
4531,3.8
24978,3.6
180,3.9
34192,4.2
14619,3.4
41786,3.7
22521,3.9
40201,3.2
37815,4.2
24980,3.3
12127,3.8
36748,4.3
29700,3.6
25173,4.1
8026,3.7
44684,3.3
5514,3.9
51416,3.7
16975,4.6
46291,3.7
9641,4.1
41150,3.8
19906,3.7
49940,3.6
2989,4.1
45951,3.7
29226,4.7
34746,4.4
9033,4.1
19056,3.8
14891,4.2
36637,3.6
38918,3.7
31540,3.9
2754,3.9
10372,3.3
35401,4.1
948,3.1
46645,2.9
32539,3.7
31245,4.6
40949,3.0
5224,4.2
17093,3.4
9022,3.8
19741,4.8
6324,3.3
46969,4.5
536,3.7
29062,4.0
28753,3.6
43439,2.8
17601,4.1
49913,3.3
51207,3.9
8861,3.5
12266,3.9
25536,4.1
41668,3.7
7491,3.5
4242,3.6
15859,3.2
47820,3.9
48150,3.9
7888,4.9
12466,3.4
31425,3.4
8229,3.6
7295,3.4
46841,3.2
14482,3.6
49997,3.6
15237,3.3
50937,3.9
39500,4.0
46711,3.3
51473,3.2
22747,3.9
25108,3.5
43716,4.2
35612,3.6
36086,3.8
36386,3.9
29401,4.2
35180,3.6
6396,3.5
5245,2.8
1960,4.0
36966,3.5
18062,3.4
40320,3.9
25294,4.4
45034,4.0
2112,3.4
17843,4.4
11571,2.8
5851,4.1
7956,4.2
31272,4.3
42037,3.8
23641,4.2
47425,4.2
32034,3.5
15672,3.7
24687,3.8
50025,3.6
51102,3.7
14744,3.6
8821,4.1
31023,3.5
41762,4.1
21645,3.1
21362,3.9
17702,3.4
11895,3.1
37991,4.1
48002,4.2
15824,3.9
49380,3.2
32839,4.1
38971,3.6
32031,3.7
51332,3.7
7070,3.9
41575,3.9
28270,4.0
24708,4.1
5158,4.4
20520,4.3
1016,3.8
295,3.9
20515,3.2
40284,4.0
11040,4.2
44250,3.5
32603,3.1
17437,3.4
19815,3.4
18592,3.2
44740,3.9
39339,4.2
20963,3.9
32311,4.0
32106,3.9
28925,4.3
38793,3.4
40682,3.7
6967,3.2
51335,3.8
25953,3.7
40946,3.2
42128,3.0
40052,4.3
48967,3.9
7613,4.0
7445,3.3
15826,3.4
24038,3.8
42946,3.6
50340,3.5
40492,4.1
37095,3.8
2553,4.0
10162,3.2
42810,2.5
25214,3.6
35776,3.2
8901,4.5
16735,3.8
37875,3.9
51191,3.6
26346,3.4
20858,3.9
46870,3.4
39199,3.3
19699,3.2
44241,3.7
9165,3.6
3735,2.7
9427,4.1
6339,4.1
24287,3.8
29653,3.3
3573,3.8
6367,2.7
2141,3.1
26892,3.0
42609,4.1
39468,4.4
25511,3.7
10567,4.0
44402,3.6
46903,3.1
39712,3.3
50610,4.1
39389,3.3
16894,3.7
19065,2.9
39196,3.5
9817,3.6
41105,2.8
50577,4.2
43350,4.2
14303,3.7
25310,3.9
26896,3.9
27858,3.2
47001,3.8
43816,3.1
5652,4.4
11488,4.5
19384,4.1
2547,4.4
41149,2.9
13856,3.5
36021,4.1
29329,3.8
12434,2.9
49057,3.6
46720,4.1
13433,4.2
6867,4.3
42397,4.6
1040,3.9
19986,4.1
30880,4.6
46023,3.0
44656,3.0
5596,3.7
611,3.6
12484,3.7
12200,3.6
15698,3.1
36764,3.9
1869,3.7
11821,4.1
30438,3.4
34368,3.3
51249,3.9
43113,3.9
37883,4.1
46898,3.8
21226,3.9
46423,3.7
49336,3.8
29590,4.3
49928,2.7
40051,3.0
21176,3.9
40618,3.6
40984,4.3
25625,3.0
26964,3.5
50601,3.3
14747,4.2
35749,4.2
23246,3.8
21917,3.4
24211,2.9
48910,4.0
44354,3.4
34710,4.0
2581,3.9
581,3.7
25134,3.3
1049,3.9
40080,3.4
24643,3.1
17286,3.2
11984,2.7
4574,3.8
12523,4.0
43679,3.5
15532,3.9
889,3.6
23282,3.7
26140,3.9
1151,4.4
10560,3.3
38575,4.4
48367,2.9
27421,3.7
38395,2.6
8697,4.2
13364,3.7
11436,3.8
42574,4.2
24540,3.2
30221,3.3
1394,3.3
29629,3.9
8498,2.3
22039,3.6
18581,3.9
5917,3.0
40393,3.6
4449,3.8
35874,3.1
51678,3.6
699,3.4
41409,3.0
43106,3.5
47515,3.2
12177,3.3
14930,3.9
5661,4.0
40127,4.2
26288,2.9
38094,3.0
6945,3.7
12589,4.2
25812,3.3
2070,3.0
19883,3.8
421,3.7
43925,4.3
5012,3.9
41640,3.5
40611,3.4
26720,3.8
13315,4.2
32053,3.0
48950,3.5
21943,3.9
6879,3.1
23932,3.6
32137,4.2
43981,3.9
42875,3.8
11544,4.5
33482,3.8
16978,4.3
29426,3.3
49958,3.8
5119,4.1
2900,3.8
11944,3.6
3296,3.9
33478,3.3
32246,4.0
23659,3.7
48877,3.8
8807,3.8
20702,3.7
51276,3.6
4077,3.7
42467,3.5
18902,3.2
28750,2.7
38145,3.5
40694,3.8
6619,4.4
48667,3.2
51437,4.1
45290,3.5
43205,4.0
36502,3.5
16849,4.2
2436,3.3
34687,4.7
24509,3.8
15638,3.7
25275,4.0
18900,3.4
51,4.1
7177,3.7
1275,3.3
4413,3.8
4800,4.8
1135,4.2
32245,4.4
39114,3.2
32737,4.5
39402,3.3
23408,3.5
8372,4.1
51180,3.3
42695,3.8
36691,4.1
5041,3.6
24515,3.8
19478,3.7
32408,3.7
41748,3.6
23669,3.1
29066,3.7
43138,3.9
49025,3.8
3342,4.2
17844,3.7
6496,3.7
25255,3.4
37686,4.0
6600,4.4
5662,4.3
32146,3.8
5132,3.3
48664,3.1
26089,3.2
41612,4.2
20259,3.7
29372,3.7
915,3.4
49054,3.9
21431,3.0
38818,3.4
14339,3.4
2145,3.2
49932,2.6
26441,3.8
50265,3.4
32178,4.1
44818,3.9
9661,2.7
44493,3.4
13622,2.8
4955,4.4
4499,4.0
12435,3.9
36304,3.8
3839,3.9
14336,3.3
9572,2.6
33958,4.0
11116,3.5
46442,3.8
25811,3.8
3340,4.1
39220,3.4
26601,3.8
39395,4.2
36436,4.2
29928,3.4
38756,4.0
13732,3.2
47314,3.7
6219,3.8
14874,4.1
33037,3.7
36200,3.3
22015,3.9
7793,4.0
29253,3.5
3831,3.8
43682,3.5
39614,4.0
18922,3.7
16779,3.9
22323,4.0
26477,4.0
926,3.8
16444,3.6
48968,3.0
31825,3.7
47430,4.0
35174,4.2
12778,3.9
31066,4.7
42450,3.9
28833,3.6
36017,4.0
42165,4.6
4262,2.9
50214,3.6
44434,4.0
47453,3.6
14872,3.7
3901,3.5
48197,4.2
46004,3.3
8767,3.5
16424,3.7
34541,4.0
42663,3.8
23356,2.5
12734,3.9
31291,4.0
34792,4.3
6563,3.6
34760,3.9
37687,4.0
47058,3.5
50403,3.6
17989,4.4
39643,3.7
41544,4.3
41014,3.0
22796,3.7
19155,3.7
44074,4.0
40505,4.8
25234,3.9
944,3.9
14020,3.1
30957,3.5
46521,3.5
46448,3.4
44816,3.8
800,4.3
9123,3.6
45644,2.8
24707,3.8
44946,4.0
47345,3.6
41182,3.9
8978,3.7
2770,3.8
43188,4.2
5390,4.0
51104,3.7
24079,3.5
39988,3.3
16672,3.8
19320,3.8
46793,3.2
41605,3.7
41008,3.8
29209,4.2
36090,3.7
18977,3.9
25346,3.9
11603,4.0
21715,3.1
13142,3.7
5550,4.1
5583,3.2
25149,3.9
45420,2.8
32215,3.5
15368,4.2
6069,4.3
46416,3.4
4468,4.3
35355,4.0
27926,3.3
3269,3.4
39944,3.6
8358,4.0
18133,3.5
5214,3.0
8668,3.6
33365,4.1
35488,3.7
32984,3.9
43539,4.1
9184,3.2
2069,3.8
27009,3.8
31814,3.7
21710,3.1
8086,3.2
28520,4.0
50421,4.1
13004,3.8
26870,3.7
26146,4.2
796,3.5
18106,3.9
49939,3.7
19959,3.9
12740,3.7
33086,3.8
6122,3.9
23907,3.8
44941,4.0
40274,4.3
24316,3.6
44215,3.7
2223,2.8
24241,4.4
24764,2.7
34478,3.8
10185,3.5
30101,3.6
18363,3.3
10068,3.5
9728,3.7
14661,4.1
27729,4.1
26717,3.7
43545,4.1
26345,3.1
328,3.8
16427,3.8
27588,4.1
40802,4.6
40288,4.0
9355,4.5
38268,4.3
31236,4.6
5630,4.3
28475,4.2
41525,4.8
22486,3.0
19554,2.6
40712,3.3
5296,3.5
50107,4.4
48744,3.5
44756,4.3
40815,3.1
42994,3.3
15998,4.1
22151,3.9
649,3.8
5934,4.1
8109,3.6
19002,3.6
3235,3.8
45239,3.7
30879,4.3
46368,3.4
21823,4.0
24144,3.5
10414,3.8
31440,3.8
23992,3.4
15617,4.3
47186,3.7
20507,3.1
34807,4.2
15148,3.8
15537,2.7
38530,3.5
32801,3.9
546,4.0
43231,3.9
47583,4.0
9393,4.4
48965,3.3
39541,3.7
10933,4.5
36490,2.7
51189,3.5
30012,3.5
28790,3.6
15381,3.2
23638,3.7
44089,4.0
33076,3.1
37009,3.1
26610,2.9
13602,3.2
23228,3.9
48647,4.2
42453,3.9
36881,2.7
26991,3.7
38528,3.3
47713,4.0
44221,3.7
27574,3.6
30321,3.8
5525,3.6
18143,4.0
29820,2.8
32055,4.5
40181,4.0
14279,3.5
13544,3.2
45081,3.4
24230,3.9
40025,3.4
15033,3.8
18674,4.4
43975,3.7
16569,3.2
5825,3.7
28964,2.8
51084,3.8
19373,4.1
31590,2.9
2970,3.8
44397,3.9
9658,3.7
14038,3.4
39499,3.6
25869,3.4
8778,3.8
